1	9	42
2	7	42
3	5	42
4	4	42
5	4	42
6	4	42
7	4	42
8	4	42
9	4	42
10	4	42
11	5	42
12	5	42
13	6	42
14	6	42
15	6	21
16	7	21
17	7	21
18	7	21
19	7	22
20	7	22
21	8	22
22	8	22
23	8	22
24	8	22
25	8	22
26	8	22
27	8	22
28	8	22
29	8	22
30	8	22
31	8	22
32	8	22
33	8	23
34	8	23
35	9	23
36	9	23
37	9	23
38	9	23
39	9	23
40	9	23
41	9	23
42	9	23
43	9	23
44	9	23
45	9	23
46	9	23
47	9	23
48	9	23
49	9	23
50	9	23
51	9	23
52	9	23
53	8	23
54	8	23
55	8	22
56	7	22
57	7	22
58	6	22
59	5	21
60	4	21
61	3	21
62	1	20
63	1	20
64	1	19
65	1	19
66	1	18
67	1	17
68	1	16
69	1	15
70	1	14
71	1	13
72	1	12
73	1	10
74	1	8
75	1	6
